id,event,name,url
1,24/25 Tunis Sabre GP,Women's Semifinal | Yoana Ilieva vs. Michela Battiston | 24/25 Tunis Sabre GP,https://www.youtube.com/watch?v=HZ5Fsi15eq4
2,24/25 Tunis Sabre GP,Women's Semifinal | Sarah Noutcha vs. Misaki Emura | 24/25 Tunis Sabre GP ,https://www.youtube.com/watch?v=O6UiTfUT_Rs
3,24/25 Tunis Sabre GP,Women's Final | Misaki Emura vs. Michela Battiston | 24/25 Tunis Sabre GP,https://www.youtube.com/watch?v=SPLpVl_FNFg
4,4/25 Tunis Sabre GP,Men's Semifinal | Sangwon Park vs. Pavel Graudyn | 24/25 Tunis Sabre GP,https://www.youtube.com/watch?v=fMSpeR0zmaE
5,24/25 Tunis Sabre GP,Men's Semifinal | Fares Ferjani vs. S�bastien Patrice | 24/25 Tunis Sabre GP,https://www.youtube.com/watch?v=JWVNfJ4cmXs
6,24/25 Tunis Sabre GP,Men's Final | S�bastien Patrice vs. Sangwon Park | 24/25 Tunis Sabre GP,https://www.youtube.com/watch?v=-Z5Fx2z6gso
